,year,rank,population,per_capita-Meningitis,per_capita-Alzheimer's Disease and Other Dementias,per_capita-Parkinson's Disease,per_capita-Nutritional Deficiencies,per_capita-Malaria,per_capita-Drowning,per_capita-Interpersonal Violence,per_capita-Maternal Disorders,per_capita-HIV/AIDS,per_capita-Drug Use Disorders,per_capita-Tuberculosis,per_capita-Cardiovascular Diseases,per_capita-Lower Respiratory Infections,per_capita-Neonatal Disorders,per_capita-Alcohol Use Disorders,per_capita-Self-harm,per_capita-Exposure to Forces of Nature,per_capita-Diarrheal Diseases,per_capita-Environmental Heat and Cold Exposure,per_capita-Neoplasms,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Chronic Kidney Disease,per_capita-Poisonings,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Chronic Respiratory Diseases,per_capita-Cirrhosis and Other Chronic Liver Diseases,per_capita-Digestive Diseases,"per_capita-Fire, Heat, and Hot Substances",per_capita-Acute Hepatitis,gdp,gdp/percap
per_capita-Maternal Disorders,-0.0984975678382387,-0.12255812495039686,-0.023481942480811775,0.8377696979138333,-0.47583561800625596,-0.4985594960726526,0.6220958474308647,0.6856650274328715,0.21064613567479432,0.08412916295495693,1.0,0.3196937111936811,-0.2982517509852089,0.7225301781768486,-0.38906699336959827,0.8102229762086662,0.8889985761360206,-0.24717763237135368,-0.19352962410163324,0.036888396838826394,0.8689462661164802,-0.05514497480900119,-0.47586167944484276,0.12175442741372627,-0.13309030758189733,-0.21997494772097873,0.5062899514665387,0.6166237137579226,0.25339201869463157,-0.15114573018739969,0.05238853583026495,0.014208850764563012,0.15923057656544168,0.6962192873856927,-0.17394088536395788,-0.37898701217737857
per_capita-HIV/AIDS,-0.10818531908921689,-0.053358024878235606,-0.042760154878170385,0.3112178872547781,-0.24004876347849669,-0.2686861607712042,0.2235619858355584,0.2897231090679764,0.020394381618778573,0.24575309815680343,0.3196937111936811,1.0,-0.14689880797940524,0.6005405902157228,-0.20900509179353347,0.3850148777808287,0.38666816485802646,-0.12202517120713044,0.06503868577662639,0.008535038103220465,0.35835067789170805,-0.012111804280600661,-0.2150080321308169,0.017536778680267415,0.006162936256408296,-0.10347645913187019,0.26095944380062824,0.22340439719556648,0.25229210859125684,-0.0728105507908716,-0.005935424094889545,0.01575926026112805,0.14766411604415008,0.15053974214315882,-0.09195816819163763,-0.18009094863202096
per_capita-Drug Use Disorders,0.027237008987781666,-0.06589683708412297,-0.003633391451045921,-0.23741986128497267,0.3711052598612334,0.36597902473610444,-0.18245678754081882,-0.20182778227070333,-0.0981176019394577,-0.09023981827593291,-0.2982517509852089,-0.14689880797940524,1.0,-0.237427473797365,0.3468422148927645,-0.2713162768863626,-0.3263704539161428,0.4805316756134117,0.3155466514912076,-0.01065415904811576,-0.25246810516427315,0.37624190400383684,0.34848157537053376,-0.02077338027953451,-0.15861001091026508,-0.10907245942470034,0.05507189009096574,-0.17901737779742638,-0.04463686573390041,0.13461330807583366,-0.03827076746990116,0.09086824051460007,0.06642359927001165,-0.19124069404724536,0.13934141398721456,0.49914041697318295
per_capita-Tuberculosis,-0.10840901757956374,-0.13778835159243105,0.020949756278450957,0.6542780182463206,-0.41756637691249254,-0.44293458307666367,0.5999282490934874,0.4688019432045332,0.1823388440642056,0.13191585272362247,0.7225301781768486,0.6005405902157228,-0.237427473797365,1.0,-0.2943843700843958,0.722287009597347,0.7444515058117719,-0.18575693988605665,-0.022968901895996766,-0.0012219401383698582,0.7426882125439711,0.028726675340913336,-0.3853936428865962,0.11140697416539852,-0.08764139455670789,-0.22838595266416709,0.5266309774235511,0.5942028574361935,0.3499618899042818,-0.03797637558687073,0.12989270467330136,0.11600001923952674,0.1758059587556602,0.5688120939976307,-0.13825592171977696,-0.34450392947097846
per_capita-Cardiovascular Diseases,0.013557504277905431,0.06357086915366482,-0.02186680443171219,-0.3271472903224249,0.4964109552031424,0.5895123279873828,-0.24842772328979787,-0.28794277623010184,0.12744449740091698,-0.10212122181359826,-0.38906699336959827,-0.20900509179353347,0.3468422148927645,-0.2943843700843958,1.0,-0.2909582977005763,-0.4253710677497553,0.5474435550312191,0.48059511606997396,-0.004985972379345534,-0.3445328486823838,0.5744720582783104,0.637493623906769,-0.06226436522742455,0.0648842207365195,-0.0032000204098611338,0.15444701330884278,-0.24434168222859437,-0.16637256916922089,0.25770692367968323,0.39914357053545513,0.5230544239915913,0.13710382548250466,-0.2616598977156406,0.057245412331104084,0.06330432296613926
per_capita-Lower Respiratory Infections,-0.12862685828563997,-0.08581673469314442,-0.051734656793548175,0.8167907021708491,-0.270559863811104,-0.2811714758151182,0.5869565094791392,0.6519236780249131,0.27171584794212367,0.08859116651808892,0.8102229762086662,0.3850148777808287,-0.2713162768863626,0.722287009597347,-0.2909582977005763,1.0,0.7720183412316675,-0.21171175235930348,-0.1055035329396158,0.009356247325879103,0.8165253569334332,-0.060374550621658,-0.2572186721391261,0.04827815391072824,-0.04084733838575813,-0.08745592628131306,0.4784703424506262,0.5825699936083693,0.2066024223892097,-0.006743124766328686,0.11837660313960639,0.15788289951712067,0.18191365377288754,0.6014584525651867,-0.09723548388380138,-0.27988860498210366
per_capita-Neonatal Disorders,-0.150695013392724,-0.19260208324308337,0.011126146355200645,0.8555153815647176,-0.5391722737463485,-0.57064381584073,0.6209772163520867,0.7310668842965437,0.17176237809863892,0.09205573479192691,0.8889985761360206,0.38666816485802646,-0.3263704539161428,0.7444515058117719,-0.4253710677497553,0.7720183412316675,1.0,-0.2773495186543361,-0.23100281859393357,0.010407360941391126,0.8309066640965738,-0.0724109265926024,-0.5480504475975913,0.10775631975613911,-0.16508014252473038,-0.25611893423087634,0.5104685419964395,0.6129971342636423,0.2695336708781276,-0.1965082338882732,0.038783939683046095,-0.034731144550675,0.17530061681257658,0.690602518563181,-0.19282513386550917,-0.4385721924551439
per_capita-Alcohol Use Disorders,-0.011045206989069675,0.024139538801910016,-0.0273202594806298,-0.19990733203038052,0.25451330978723413,0.2522719322143942,-0.13342412068714474,-0.17840243550492046,0.1865715638402972,0.21731292276281158,-0.24717763237135368,-0.12202517120713044,0.4805316756134117,-0.18575693988605665,0.5474435550312191,-0.21171175235930348,-0.2773495186543361,1.0,0.5758995166013485,-0.0013668940288108758,-0.21565129706602826,0.7572066473644117,0.35235549564492863,-0.06480894758445356,-0.09618126377257485,-0.03534793490810916,0.33205638492465217,-0.1337104630011226,-0.13767476856929384,0.035879445040736986,0.3201344908195715,0.4351448007341256,0.2147546397612559,-0.22431948338084362,0.02714283778042345,0.08586941434881187
per_capita-Self-harm,-0.056341835480524446,0.13916686720085047,0.004469080343376668,-0.16666379089605413,0.24437375306327153,0.2907453138368843,-0.11022204796547551,-0.17291957430416757,0.317228885652317,0.06978124032706631,-0.19352962410163324,0.06503868577662639,0.3155466514912076,-0.022968901895996766,0.48059511606997396,-0.1055035329396158,-0.23100281859393357,0.5758995166013485,1.0,-0.007615614547354095,-0.14883896856570808,0.5454978182303666,0.4195224664256947,-0.07698329889354719,0.06502734958428473,-0.04111993448730278,0.23680688259805732,-0.10750409208182284,-0.010337934165339586,0.2828993616784975,0.2404249062629115,0.3938258452345025,0.15637603368351302,-0.1835763729327542,0.10272324814460165,0.10328468027087273
per_capita-Exposure to Forces of Nature,-0.001551441043282929,-0.005974258608926632,-0.0018843053594868307,0.010162946693044215,-0.015558479083605218,-0.013420537758279408,0.003922978044103659,-0.001716416009559558,0.05271808664993721,0.034313404018511934,0.036888396838826394,0.008535038103220465,-0.01065415904811576,-0.0012219401383698582,-0.004985972379345534,0.009356247325879103,0.010407360941391126,-0.0013668940288108758,-0.007615614547354095,1.0,0.011848276178302669,0.0027419133171157294,-0.01149913078163954,-0.0033170940408731287,0.009742279831798527,0.005226445952925357,0.009092763659569961,0.0038988926676378297,-0.00898325315716032,0.00794301219049732,-0.0002432850410408221,0.0036734563600655567,0.013238502061004027,0.0007641390409946708,-0.006644280789018739,-0.015371209242641685
per_capita-Diarrheal Diseases,-0.14364462700025563,-0.14458059608464988,0.02095105344594663,0.8903302558602187,-0.394754682569275,-0.41772557648777486,0.6022749404403197,0.668476400476818,0.13757429845457178,0.0623223832204931,0.8689462661164802,0.35835067789170805,-0.25246810516427315,0.7426882125439711,-0.3445328486823838,0.8165253569334332,0.8309066640965738,-0.21565129706602826,-0.14883896856570808,0.011848276178302669,1.0,-0.036747023100896246,-0.4047463970904333,0.09746956853796203,-0.13205301609460307,-0.22425731668218446,0.49035340629608104,0.5967989462436849,0.24759586460933727,-0.12765084088303633,0.06832234191896461,0.05225136807698361,0.16074535228863368,0.6377434347616282,-0.13033577405312471,-0.31171888051314117
per_capita-Environmental Heat and Cold Exposure,-0.06332936308104656,-0.04790061466949967,-0.0011172173476308516,-0.01876987068625722,0.09280182386326172,0.07096265996623054,-0.026747875196825276,-0.038198301539474476,0.2851318715492301,0.10722813960610261,-0.05514497480900119,-0.012111804280600661,0.37624190400383684,0.028726675340913336,0.5744720582783104,-0.060374550621658,-0.0724109265926024,0.7572066473644117,0.5454978182303666,0.0027419133171157294,-0.036747023100896246,1.0,0.19576120687191323,-0.02451797566293882,-0.18530934326613366,-0.2902268940717151,0.6068142265483684,-0.02618794121501614,0.0061480909526999885,-0.008368537364650595,0.41117716525959414,0.4437579306547657,0.29802647451197095,-0.03847817757986193,-0.009266786475258273,-0.09414931842518076
per_capita-Neoplasms,0.09147357110560697,0.13609268123543655,-0.02932171713767605,-0.38338557718352867,0.8846187728887205,0.9198791791085505,-0.2706410389552343,-0.32232699756246924,-0.19383072938620785,-0.19185215667823202,-0.47586167944484276,-0.2150080321308169,0.34848157537053376,-0.3853936428865962,0.637493623906769,-0.2572186721391261,-0.5480504475975913,0.35235549564492863,0.4195224664256947,-0.01149913078163954,-0.4047463970904333,0.19576120687191323,1.0,-0.10998928534060737,0.05778623904994808,0.16885513579990194,-0.22684153061821058,-0.2663533769656899,-0.38057273076061515,0.3769228671045611,0.11214052228724355,0.42034989986662047,-0.08138048942287261,-0.3763754873718402,0.29694961354237565,0.5297161997055804
per_capita-Conflict and Terrorism,0.006362189908176053,-0.08227861882293377,-0.011965683156297868,0.0764913982999691,-0.09556454767462946,-0.10842278531858904,0.10185281023553211,0.08086567778887167,-0.019954740156564392,-0.004546291247325289,0.12175442741372627,0.017536778680267415,-0.02077338027953451,0.11140697416539852,-0.06226436522742455,0.04827815391072824,0.10775631975613911,-0.06480894758445356,-0.07698329889354719,-0.0033170940408731287,0.09746956853796203,-0.02451797566293882,-0.10998928534060737,1.0,-0.06386242821941314,-0.06887354308130333,0.0585404825632193,0.10138331511335345,0.03563107541872206,-0.07899438460233728,-0.06027227560658352,-0.1034411976122091,0.015123748211611802,0.13201240551013227,-0.03616152042198679,-0.07822083320538303
per_capita-Diabetes Mellitus,0.07687271873744578,0.42889505018589913,-0.09749134127650017,-0.14393608307735115,-0.013974744066113636,0.14531982975788463,-0.08490176070415642,-0.15854479103196076,0.22124378217662677,0.13306885303043547,-0.13309030758189733,0.006162936256408296,-0.15861001091026508,-0.08764139455670789,0.0648842207365195,-0.04084733838575813,-0.16508014252473038,-0.09618126377257485,0.06502734958428473,0.009742279831798527,-0.13205301609460307,-0.18530934326613366,0.05778623904994808,-0.06386242821941314,1.0,0.6407204371459231,-0.228505114458243,-0.08317039482017013,0.045162902705854005,0.20417139835232126,-0.0857548953750169,-0.0364165263285432,-0.0055818693883512936,-0.1426783140693083,-0.10940623351977194,-0.0944410791316156
per_capita-Chronic Kidney Disease,0.20742200660398893,0.3044309184535764,-0.08369059514691331,-0.22062563548296812,0.18775298384361339,0.28181486280494006,-0.1344088310311536,-0.20261578807686453,0.06813927044478364,0.22592787372651502,-0.21997494772097873,-0.10347645913187019,-0.10907245942470034,-0.22838595266416709,-0.0032000204098611338,-0.08745592628131306,-0.25611893423087634,-0.03534793490810916,-0.04111993448730278,0.005226445952925357,-0.22425731668218446,-0.2902268940717151,0.16885513579990194,-0.06887354308130333,0.6407204371459231,1.0,-0.3668221414072586,-0.132492316836591,-0.04275862489480131,0.15490941629885321,-0.04624437702282606,0.03799586435700841,-0.11137657980125597,-0.20968887708850226,0.0188752667039216,0.02418509426424597
per_capita-Poisonings,-0.12966011897450122,-0.21637735648764156,0.03234407256572427,0.5141364399876902,-0.3037918507165201,-0.3269657785948997,0.39512783214642333,0.3987952142239881,0.3643663231237503,0.12107458767322005,0.5062899514665387,0.26095944380062824,0.05507189009096574,0.5266309774235511,0.15444701330884278,0.4784703424506262,0.5104685419964395,0.33205638492465217,0.23680688259805732,0.009092763659569961,0.49035340629608104,0.6068142265483684,-0.22684153061821058,0.0585404825632193,-0.228505114458243,-0.3668221414072586,1.0,0.39273861839738816,0.2633620559979878,-0.016337216060942197,0.38143459538372293,0.3185708585178444,0.3240429280469115,0.40587567893180754,-0.08241254255435339,-0.3553228665364766
per_capita-Protein-Energy Malnutrition,-0.13152095499614447,-0.09447162856103912,-0.03557560684704197,0.621317512621973,-0.2750345993909544,-0.29533971702315126,0.9996324500785088,0.44228746407259173,0.1416280587050062,0.09142162869222598,0.6166237137579226,0.22340439719556648,-0.17901737779742638,0.5942028574361935,-0.24434168222859437,0.5825699936083693,0.6129971342636423,-0.1337104630011226,-0.10750409208182284,0.0038988926676378297,0.5967989462436849,-0.02618794121501614,-0.2663533769656899,0.10138331511335345,-0.08317039482017013,-0.132492316836591,0.39273861839738816,1.0,0.17097507481282243,-0.059439202916584895,0.06200655913746658,0.05267465250812704,0.11290276248760235,0.4893462009071981,-0.11771320162006817,-0.2648076696195474
per_capita-Road Injuries,-0.10519522814309368,-0.07108892020134763,0.013940094021173906,0.1698587806497845,-0.4181834050422307,-0.40530349146854994,0.17078758684590065,0.15001098531539925,0.24341377230943514,0.15863516884869577,0.25339201869463157,0.25229210859125684,-0.04463686573390041,0.3499618899042818,-0.16637256916922089,0.2066024223892097,0.2695336708781276,-0.13767476856929384,-0.010337934165339586,-0.00898325315716032,0.24759586460933727,0.0061480909526999885,-0.38057273076061515,0.03563107541872206,0.045162902705854005,-0.04275862489480131,0.2633620559979878,0.17097507481282243,1.0,-0.09058263205176302,-0.005582732552048015,-0.12155283878825328,0.13254434302193613,0.20039735049218552,-0.09984847358244772,-0.22623927515766443
per_capita-Chronic Respiratory Diseases,0.009160343960176532,-0.014621422384072831,0.2736697281821958,-0.17727966457252592,0.29283219549226613,0.4034818369668263,-0.05907870998282461,-0.21042638268319194,0.1814534422608529,-0.12411703279968755,-0.15114573018739969,-0.0728105507908716,0.13461330807583366,-0.03797637558687073,0.25770692367968323,-0.006743124766328686,-0.1965082338882732,0.035879445040736986,0.2828993616784975,0.00794301219049732,-0.12765084088303633,-0.008368537364650595,0.3769228671045611,-0.07899438460233728,0.20417139835232126,0.15490941629885321,-0.016337216060942197,-0.059439202916584895,-0.09058263205176302,1.0,0.07981061889577343,0.2425127201532552,0.006816253752215108,-0.032969227323296976,0.25951838683702777,0.14789500066558392
per_capita-Cirrhosis and Other Chronic Liver Diseases,-0.005770235753891848,-0.13080554702203917,-0.0031241218389742977,0.06102038302321111,0.029151499737347382,0.02395700238160367,0.0635915494685783,0.01613601479757595,0.1996284822680594,0.029716443398573756,0.05238853583026495,-0.005935424094889545,-0.03827076746990116,0.12989270467330136,0.39914357053545513,0.11837660313960639,0.038783939683046095,0.3201344908195715,0.2404249062629115,-0.0002432850410408221,0.06832234191896461,0.41117716525959414,0.11214052228724355,-0.06027227560658352,-0.0857548953750169,-0.04624437702282606,0.38143459538372293,0.06200655913746658,-0.005582732552048015,0.07981061889577343,1.0,0.8869422072009292,0.09205696453331638,0.07878655518782329,-0.04075570559665955,-0.23859479259975486
per_capita-Digestive Diseases,0.013374557906987912,-0.09306337434228862,-0.01934371449750278,0.041059736189210785,0.3103399375277315,0.32640806954062107,0.053907153158678674,-0.004485948256086705,0.1379774635024018,0.05800541138386118,0.014208850764563012,0.01575926026112805,0.09086824051460007,0.11600001923952674,0.5230544239915913,0.15788289951712067,-0.034731144550675,0.4351448007341256,0.3938258452345025,0.0036734563600655567,0.05225136807698361,0.4437579306547657,0.42034989986662047,-0.1034411976122091,-0.0364165263285432,0.03799586435700841,0.3185708585178444,0.05267465250812704,-0.12155283878825328,0.2425127201532552,0.8869422072009292,1.0,0.0887890465864316,0.006086740028416788,0.05139301798403195,-0.07058446118566655
"per_capita-Fire, Heat, and Hot Substances",-0.09078824415532984,0.0031171764608500744,-0.03131825494935843,0.1615294781929908,-0.13329196962852968,-0.105724092294199,0.11315968520316565,0.10707446930926656,0.22224929467469323,0.11110931035539694,0.15923057656544168,0.14766411604415008,0.06642359927001165,0.1758059587556602,0.13710382548250466,0.18191365377288754,0.17530061681257658,0.2147546397612559,0.15637603368351302,0.013238502061004027,0.16074535228863368,0.29802647451197095,-0.08138048942287261,0.015123748211611802,-0.0055818693883512936,-0.11137657980125597,0.3240429280469115,0.11290276248760235,0.13254434302193613,0.006816253752215108,0.09205696453331638,0.0887890465864316,1.0,0.11115906180722415,-0.08164254534111655,-0.16691739994643345
per_capita-Acute Hepatitis,-0.14467300503739042,-0.17820996671647032,0.10964069587121332,0.6030616592572517,-0.37727896682840767,-0.39225989902222974,0.496657917237286,0.3932316722691012,0.18234454419630858,-0.020774478848635262,0.6962192873856927,0.15053974214315882,-0.19124069404724536,0.5688120939976307,-0.2616598977156406,0.6014584525651867,0.690602518563181,-0.22431948338084362,-0.1835763729327542,0.0007641390409946708,0.6377434347616282,-0.03847817757986193,-0.3763754873718402,0.13201240551013227,-0.1426783140693083,-0.20968887708850226,0.40587567893180754,0.4893462009071981,0.20039735049218552,-0.032969227323296976,0.07878655518782329,0.006086740028416788,0.11115906180722415,1.0,-0.11248720080372265,-0.3037535182775004
gdp,0.09409059366058971,-0.3643765242700661,0.5879085337491686,-0.13688455677836214,0.38711284116623634,0.30005166651585896,-0.11708745803672009,-0.11004742122815304,-0.11483200783195674,-0.10408616367851328,-0.17394088536395788,-0.09195816819163763,0.13934141398721456,-0.13825592171977696,0.057245412331104084,-0.09723548388380138,-0.19282513386550917,0.02714283778042345,0.10272324814460165,-0.006644280789018739,-0.13033577405312471,-0.009266786475258273,0.29694961354237565,-0.03616152042198679,-0.10940623351977194,0.0188752667039216,-0.08241254255435339,-0.11771320162006817,-0.09984847358244772,0.25951838683702777,-0.04075570559665955,0.05139301798403195,-0.08164254534111655,-0.11248720080372265,1.0,0.24204553345103894
gdp/percap,0.15123048852448856,0.11786714657930504,-0.07152652385688137,-0.3029622006610457,0.6100856243851154,0.5812461510097313,-0.26799382748992073,-0.22533212076162676,-0.38325510800109036,-0.2526608809873176,-0.37898701217737857,-0.18009094863202096,0.49914041697318295,-0.34450392947097846,0.06330432296613926,-0.27988860498210366,-0.4385721924551439,0.08586941434881187,0.10328468027087273,-0.015371209242641685,-0.31171888051314117,-0.09414931842518076,0.5297161997055804,-0.07822083320538303,-0.0944410791316156,0.02418509426424597,-0.3553228665364766,-0.2648076696195474,-0.22623927515766443,0.14789500066558392,-0.23859479259975486,-0.07058446118566655,-0.16691739994643345,-0.3037535182775004,0.24204553345103894,1.0
